2020-03-23,"Case Counts by Age Group, Hospitalizations, and Deaths","30-39, Not Hospitalized",Cases,117
2020-03-23,"Case Counts by Age Group, Hospitalizations, and Deaths","40-49, Hospitalized",Cases,8
2020-03-23,"Case Counts by Age Group, Hospitalizations, and Deaths","40-49, Not Hospitalized",Cases,137
2020-03-23,"Case Counts by Age Group, Hospitalizations, and Deaths","50-59, Hospitalized",Cases,16
2020-03-23,"Case Counts by Age Group, Hospitalizations, and Deaths","50-59, Not Hospitalized",Cases,98
2020-03-23,"Case Counts by Age Group, Hospitalizations, and Deaths","60-69, Deaths",Cases,2
2020-03-23,"Case Counts by Age Group, Hospitalizations, and Deaths","60-69, Hospitalized",Cases,18
2020-03-23,"Case Counts by Age Group, Hospitalizations, and Deaths","60-69, Not Hospitalized",Cases,78
2020-03-23,"Case Counts by Age Group, Hospitalizations, and Deaths","70-79, Deaths",Cases,4
2020-03-23,"Case Counts by Age Group, Hospitalizations, and Deaths","70-79, Hospitalized",Cases,18
2020-03-23,"Case Counts by Age Group, Hospitalizations, and Deaths","70-79, Not Hospitalized",Cases,58
2020-03-23,"Case Counts by Age Group, Hospitalizations, and Deaths","80+, Deaths",Cases,1
2020-03-23,"Case Counts by Age Group, Hospitalizations, and Deaths","80+, Hospitalized",Cases,6
2020-03-23,"Case Counts by Age Group, Hospitalizations, and Deaths","80+, Not Hospitalized",Cases,26
2020-03-23,"Case Counts by Age Group, Hospitalizations, and Deaths","Unknown, Not Hospitalized",Cases,3
2020-03-23,Case Counts by Sex,Female,Cases,351
2020-03-23,Case Counts by Sex,Male,Cases,368
2020-03-23,Case Counts by Sex,Unknown,Cases,1
2020-03-23,Case Counts by Onset Date,2/18/2020,Cases,1
2020-03-23,Case Counts by Onset Date,2/20/2020,Cases,3
2020-03-23,Case Counts by Onset Date,2/23/2020,Cases,1
2020-03-23,Case Counts by Onset Date,2/26/2020,Cases,1
2020-03-23,Case Counts by Onset Date,2/27/2020,Cases,1
2020-03-23,Case Counts by Onset Date,2/28/2020,Cases,2
2020-03-23,Case Counts by Onset Date,2/29/2020,Cases,2
2020-03-23,Case Counts by Onset Date,3/1/2020,Cases,10
2020-03-23,Case Counts by Onset Date,3/2/2020,Cases,8
2020-03-23,Case Counts by Onset Date,3/3/2020,Cases,11
2020-03-23,Case Counts by Onset Date,3/4/2020,Cases,15
2020-03-23,Case Counts by Onset Date,3/5/2020,Cases,7
2020-03-23,Case Counts by Onset Date,3/6/2020,Cases,14
2020-03-23,Case Counts by Onset Date,3/7/2020,Cases,12
2020-03-23,Case Counts by Onset Date,3/8/2020,Cases,22
2020-03-23,Case Counts by Onset Date,3/9/2020,Cases,24
2020-03-23,Case Counts by Onset Date,3/10/2020,Cases,30
2020-03-23,Case Counts by Onset Date,3/11/2020,Cases,20
2020-03-23,Case Counts by Onset Date,3/12/2020,Cases,9
2020-03-23,Case Counts by Onset Date,3/13/2020,Cases,11
2020-03-23,Case Counts by Onset Date,3/14/2020,Cases,9
2020-03-23,Case Counts by Onset Date,3/15/2020,Cases,7
2020-03-23,Case Counts by Onset Date,3/16/2020,Cases,1
2020-03-23,Case Counts by Onset Date,3/17/2020,Cases,9
2020-03-23,Case Counts by Onset Date,3/18/2020,Cases,5
2020-03-23,Case Counts by Onset Date,3/19/2020,Cases,3
2020-03-23,Case Counts by Onset Date,3/20/2020,Cases,4
2020-03-23,Case Counts by Onset Date,3/21/2020,Cases,2
2020-03-24,description,attribute,metric,value
2020-03-24,State Data,Statewide,Cases,912
2020-03-24,State Data,Statewide,Hospitalizations,84
2020-03-24,State Data,Statewide,Counties,35
2020-03-24,State Data,Statewide,People Tested,7701
2020-03-24,State Data,Statewide,Deaths,11
2020-03-24,State Data,Statewide,Outbreaks,7
2020-03-24,State Data,Statewide,Rate Per 100000,16.01
2020-03-24,Case Counts by County,Alamosa,Rate Per 100000,NA
2020-03-24,Case Counts by County,Alamosa,Cases,0
2020-03-24,Case Counts by County,Archuleta,Rate Per 100000,NA
2020-03-24,Case Counts by County,Archuleta,Cases,0
2020-03-24,Case Counts by County,Baca,Rate Per 100000,NA
2020-03-24,Case Counts by County,Baca,Cases,0
2020-03-24,Case Counts by County,Bent,Rate Per 100000,NA
2020-03-24,Case Counts by County,Bent,Cases,0
2020-03-24,Case Counts by County,Cheyenne,Rate Per 100000,NA
2020-03-24,Case Counts by County,Cheyenne,Cases,0
2020-03-24,Case Counts by County,Conejos,Rate Per 100000,NA
2020-03-24,Case Counts by County,Conejos,Cases,0
2020-03-24,Case Counts by County,Costilla,Rate Per 100000,NA
2020-03-24,Case Counts by County,Costilla,Cases,0
2020-03-24,Case Counts by County,Custer,Rate Per 100000,NA
2020-03-24,Case Counts by County,Custer,Cases,0
2020-03-24,Case Counts by County,Dolores,Rate Per 100000,NA
2020-03-24,Case Counts by County,Dolores,Cases,0
2020-03-24,Case Counts by County,Gilpin,Rate Per 100000,NA
2020-03-24,Case Counts by County,Gilpin,Cases,0
2020-03-24,Case Counts by County,Jackson,Rate Per 100000,NA
2020-03-24,Case Counts by County,Jackson,Cases,0
2020-03-24,Case Counts by County,Kiowa,Rate Per 100000,NA
2020-03-24,Case Counts by County,Kiowa,Cases,0
2020-03-24,Case Counts by County,Kit Carson,Rate Per 100000,NA
2020-03-24,Case Counts by County,Kit Carson,Cases,0
2020-03-24,Case Counts by County,Lake,Rate Per 100000,NA
2020-03-24,Case Counts by County,Lake,Cases,0
2020-03-24,Case Counts by County,Las Animas,Rate Per 100000,NA
2020-03-24,Case Counts by County,Las Animas,Cases,0
2020-03-24,Case Counts by County,Lincoln,Rate Per 100000,NA
2020-03-24,Case Counts by County,Lincoln,Cases,0
2020-03-24,Case Counts by County,Mineral,Rate Per 100000,NA
2020-03-24,Case Counts by County,Mineral,Cases,0
2020-03-24,Case Counts by County,Moffat,Rate Per 100000,NA
2020-03-24,Case Counts by County,Moffat,Cases,0
2020-03-24,Case Counts by County,Montezuma,Rate Per 100000,NA
2020-03-24,Case Counts by County,Montezuma,Cases,0
2020-03-24,Case Counts by County,Otero,Rate Per 100000,NA
2020-03-24,Case Counts by County,Otero,Cases,0
2020-03-24,Case Counts by County,Ouray,Rate Per 100000,NA
2020-03-24,Case Counts by County,Ouray,Cases,0
2020-03-24,Case Counts by County,Phillips,Rate Per 100000,NA
2020-03-24,Case Counts by County,Phillips,Cases,0
2020-03-24,Case Counts by County,Prowers,Rate Per 100000,NA
2020-03-24,Case Counts by County,Prowers,Cases,0
2020-03-24,Case Counts by County,Rio Blanco,Rate Per 100000,NA
2020-03-24,Case Counts by County,Rio Blanco,Cases,0
2020-03-24,Case Counts by County,Rio Grande,Rate Per 100000,NA
2020-03-24,Case Counts by County,Rio Grande,Cases,0
2020-03-24,Case Counts by County,Saguache,Rate Per 100000,NA
2020-03-24,Case Counts by County,Saguache,Cases,0
2020-03-24,Case Counts by County,San Juan,Rate Per 100000,NA
2020-03-24,Case Counts by County,San Juan,Cases,0
2020-03-24,Case Counts by County,Sedgwick,Rate Per 100000,NA
2020-03-24,Case Counts by County,Sedgwick,Cases,0
2020-03-24,Case Counts by County,Washington,Rate Per 100000,NA
2020-03-24,Case Counts by County,Washington,Cases,0
2020-03-24,Case Counts by County,Crowley,Rate Per 100000,NA
2020-03-24,Case Counts by County,Crowley,Cases,1
2020-03-24,Case Counts by County,Delta,Rate Per 100000,NA
2020-03-24,Case Counts by County,Delta,Cases,1
2020-03-24,Case Counts by County,Fremont,Rate Per 100000,NA
2020-03-24,Case Counts by County,Fremont,Cases,1
2020-03-24,Case Counts by County,Hinsdale,Rate Per 100000,NA
2020-03-24,Case Counts by County,Hinsdale,Cases,1
2020-03-24,Case Counts by County,Huerfano,Rate Per 100000,NA
2020-03-24,Case Counts by County,Huerfano,Cases,1
2020-03-24,Case Counts by County,La Plata,Rate Per 100000,NA
2020-03-24,Case Counts by County,La Plata,Cases,1
2020-03-24,Case Counts by County,Park,Rate Per 100000,NA
2020-03-24,Case Counts by County,Park,Cases,1
2020-03-24,Case Counts by County,San Miguel,Rate Per 100000,NA
2020-03-24,Case Counts by County,San Miguel,Cases,1
2020-03-24,Case Counts by County,Yuma,Rate Per 100000,NA
2020-03-24,Case Counts by County,Yuma,Cases,1
2020-03-24,Case Counts by County,Grand,Rate Per 100000,NA
2020-03-24,Case Counts by County,Grand,Cases,2
2020-03-24,Case Counts by County,Logan,Rate Per 100000,NA
2020-03-24,Case Counts by County,Logan,Cases,2
2020-03-24,Case Counts by County,Chaffee,Rate Per 100000,NA
2020-03-24,Case Counts by County,Chaffee,Cases,3
2020-03-24,Case Counts by County,Clear Creek,Rate Per 100000,NA
2020-03-24,Case Counts by County,Clear Creek,Cases,3
2020-03-24,Case Counts by County,Elbert,Rate Per 100000,NA
2020-03-24,Case Counts by County,Elbert,Cases,3
2020-03-24,Case Counts by County,Montrose,Rate Per 100000,NA
2020-03-24,Case Counts by County,Montrose,Cases,3
2020-03-24,Case Counts by County,Morgan,Rate Per 100000,NA
2020-03-24,Case Counts by County,Morgan,Cases,3
2020-03-24,Case Counts by County,Pueblo,Rate Per 100000,NA
2020-03-24,Case Counts by County,Pueblo,Cases,3
2020-03-24,Case Counts by County,Teller,Rate Per 100000,NA
2020-03-24,Case Counts by County,Teller,Cases,3
2020-03-24,Case Counts by County,Routt,Rate Per 100000,NA
2020-03-24,Case Counts by County,Routt,Cases,4
2020-03-24,Case Counts by County,Broomfield,Rate Per 100000,7.232749892
2020-03-24,Case Counts by County,Broomfield,Cases,5
2020-03-24,Case Counts by County,Mesa,Rate Per 100000,3.254615044
2020-03-24,Case Counts by County,Mesa,Cases,5
2020-03-24,Case Counts by County,Garfield,Rate Per 100000,16.70732115
2020-03-24,Case Counts by County,Garfield,Cases,10
2020-03-24,Case Counts by County,Summit,Rate Per 100000,32.28097359
2020-03-24,Case Counts by County,Summit,Cases,10
2020-03-24,Case Counts by County,*Unknown or pending,Rate Per 100000,NA
2020-03-24,Case Counts by County,*Unknown or pending,Cases,18
2020-03-24,Case Counts by County,Pitkin,Rate Per 100000,100.4128082
2020-03-24,Case Counts by County,Pitkin,Cases,18
2020-03-24,Case Counts by County,Adams,Rate Per 100000,5.276322989
2020-03-24,Case Counts by County,Adams,Cases,27
2020-03-24,Case Counts by County,Gunnison,Rate Per 100000,232.8017693
2020-03-24,Case Counts by County,Gunnison,Cases,40
2020-03-24,Case Counts by County,Larimer,Rate Per 100000,12.27084903
2020-03-24,Case Counts by County,Larimer,Cases,43
2020-03-24,Case Counts by County,Boulder,Rate Per 100000,15.05283854
2020-03-24,Case Counts by County,Boulder,Cases,49
2020-03-24,Case Counts by County,Douglas,Rate Per 100000,15.45473367
2020-03-24,Case Counts by County,Douglas,Cases,53
2020-03-24,Case Counts by County,Arapahoe,Rate Per 100000,10.59073265
2020-03-24,Case Counts by County,Arapahoe,Cases,69
2020-03-24,Case Counts by County,Jefferson,Rate Per 100000,12.58887661
2020-03-24,Case Counts by County,Jefferson,Cases,73
2020-03-24,Case Counts by County,Weld,Rate Per 100000,24.18164232
2020-03-24,Case Counts by County,Weld,Cases,76
2020-03-24,Case Counts by County,Eagle,Rate Per 100000,174.8793151
2020-03-24,Case Counts by County,Eagle,Cases,96
2020-03-24,Case Counts by County,El Paso,Rate Per 100000,14.83480189
2020-03-24,Case Counts by County,El Paso,Cases,106
2020-03-24,Case Counts by County,Denver,Rate Per 100000,24.51724705
2020-03-24,Case Counts by County,Denver,Cases,176
2020-03-24,Case Counts by Age Group,0-9,Cases,11
2020-03-24,Case Counts by Age Group,0-9,Percent,1.21
2020-03-24,Case Counts by Age Group,10-19,Cases,23
2020-03-24,Case Counts by Age Group,10-19,Percent,2.52
2020-03-24,Case Counts by Age Group,20-29,Cases,122
2020-03-24,Case Counts by Age Group,20-29,Percent,13.38
2020-03-24,Case Counts by Age Group,30-39,Cases,157
2020-03-24,Case Counts by Age Group,30-39,Percent,17.21
2020-03-24,Case Counts by Age Group,40-49,Cases,175
2020-03-24,Case Counts by Age Group,40-49,Percent,19.19
2020-03-24,Case Counts by Age Group,50-59,Cases,148
2020-03-24,Case Counts by Age Group,50-59,Percent,16.23
2020-03-24,Case Counts by Age Group,60-69,Cases,127
2020-03-24,Case Counts by Age Group,60-69,Percent,13.93
2020-03-24,Case Counts by Age Group,70-79,Cases,97
2020-03-24,Case Counts by Age Group,70-79,Percent,10.64
2020-03-24,Case Counts by Age Group,80+,Cases,48
2020-03-24,Case Counts by Age Group,80+,Percent,5.26
2020-03-24,Case Counts by Age Group,Unknown,Cases,4
2020-03-24,Case Counts by Age Group,Unknown,Percent,0.44
2020-03-24,"Case Counts by Age Group, Hospitalizations, and Deaths","0-9, Not Hospitalized",Cases,11
2020-03-24,"Case Counts by Age Group, Hospitalizations, and Deaths","10-19, Not Hospitalized",Cases,23
2020-03-24,"Case Counts by Age Group, Hospitalizations, and Deaths","20-29, Not Hospitalized",Cases,122
2020-03-24,"Case Counts by Age Group, Hospitalizations, and Deaths","30-39, Hospitalized",Cases,9
2020-03-24,"Case Counts by Age Group, Hospitalizations, and Deaths","30-39, Not Hospitalized",Cases,148
2020-03-24,"Case Counts by Age Group, Hospitalizations, and Deaths","40-49, Hospitalized",Cases,10
2020-03-24,"Case Counts by Age Group, Hospitalizations, and Deaths","40-49, Not Hospitalized",Cases,165
2020-03-24,"Case Counts by Age Group, Hospitalizations, and Deaths","50-59, Deaths",Cases,1
2020-03-24,"Case Counts by Age Group, Hospitalizations, and Deaths","50-59, Hospitalized",Cases,18
2020-03-24,"Case Counts by Age Group, Hospitalizations, and Deaths","50-59, Not Hospitalized",Cases,129
2020-03-24,"Case Counts by Age Group, Hospitalizations, and Deaths","60-69, Deaths",Cases,2
2020-03-24,"Case Counts by Age Group, Hospitalizations, and Deaths","60-69, Hospitalized",Cases,20
2020-03-24,"Case Counts by Age Group, Hospitalizations, and Deaths","60-69, Not Hospitalized",Cases,105
2020-03-24,"Case Counts by Age Group, Hospitalizations, and Deaths","70-79, Deaths",Cases,6
2020-03-24,"Case Counts by Age Group, Hospitalizations, and Deaths","70-79, Hospitalized",Cases,20
2020-03-24,"Case Counts by Age Group, Hospitalizations, and Deaths","70-79, Not Hospitalized",Cases,71
2020-03-24,"Case Counts by Age Group, Hospitalizations, and Deaths","80+, Deaths",Cases,2
2020-03-24,"Case Counts by Age Group, Hospitalizations, and Deaths","80+, Hospitalized",Cases,7
2020-03-24,"Case Counts by Age Group, Hospitalizations, and Deaths","80+, Not Hospitalized",Cases,39
2020-03-24,"Case Counts by Age Group, Hospitalizations, and Deaths","Unknown, Not Hospitalized",Cases,4
2020-03-24,Case Counts by Sex,Female,Cases,452
2020-03-24,Case Counts by Sex,Male,Cases,460
2020-03-25,description,attribute,metric,value
2020-03-25,State Data,Statewide,Cases,1086
2020-03-25,State Data,Statewide,Hospitalizations,148
2020-03-25,State Data,Statewide,Counties,36
2020-03-25,State Data,Statewide,People Tested,8064
2020-03-25,State Data,Statewide,Deaths,19
2020-03-25,State Data,Statewide,Outbreaks,9
2020-03-25,State Data,Statewide,Rate Per 100000,19.07
2020-03-25,State Data,Note,"Case summaries for 3/26/2020 and 3/25/2020 were created retroactively. Due to retroactively updated and corrected underlying data, case counts and summary statistics may not match what was published on the corresponding day.",NA
2020-03-25,State Data,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,NA
2020-03-25,State Data,Note,Outbreaks are investigated at residential and non-hospital heathcare facilities.,NA
2020-03-25,State Data,Note,"The state rate per 100,000 includes all cases (including cases who have not yet been assigned to a county).",NA
2020-03-25,Case Counts by County,Adams County,Cases,38
2020-03-25,Case Counts by County,Adams County,Rate Per 100000,7.429522184
2020-03-25,Case Counts by County,Alamosa County,Cases,0
2020-03-25,Case Counts by County,Alamosa County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Arapahoe County,Cases,88
2020-03-25,Case Counts by County,Arapahoe County,Rate Per 100000,13.51056741
2020-03-25,Case Counts by County,Archuleta County,Cases,0
2020-03-25,Case Counts by County,Archuleta County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Baca County,Cases,0
2020-03-25,Case Counts by County,Baca County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Bent County,Cases,0
2020-03-25,Case Counts by County,Bent County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Boulder County,Cases,51
2020-03-25,Case Counts by County,Boulder County,Rate Per 100000,15.66935811
2020-03-25,Case Counts by County,Broomfield County,Cases,8
2020-03-25,Case Counts by County,Broomfield County,Rate Per 100000,11.51858091
2020-03-25,Case Counts by County,Chaffee County,Cases,3
2020-03-25,Case Counts by County,Chaffee County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Cheyenne County,Cases,0
2020-03-25,Case Counts by County,Cheyenne County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Clear Creek County,Cases,3
2020-03-25,Case Counts by County,Clear Creek County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Conejos County,Cases,0
2020-03-25,Case Counts by County,Conejos County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Costilla County,Cases,0
2020-03-25,Case Counts by County,Costilla County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Crowley County,Cases,1
2020-03-25,Case Counts by County,Crowley County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Custer County,Cases,0
2020-03-25,Case Counts by County,Custer County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Delta County,Cases,1
2020-03-25,Case Counts by County,Delta County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Denver County,Cases,214
2020-03-25,Case Counts by County,Denver County,Rate Per 100000,29.81344308
2020-03-25,Case Counts by County,Dolores County,Cases,0
2020-03-25,Case Counts by County,Dolores County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Douglas County,Cases,58
2020-03-25,Case Counts by County,Douglas County,Rate Per 100000,16.91741385
2020-03-25,Case Counts by County,Eagle County,Cases,120
2020-03-25,Case Counts by County,Eagle County,Rate Per 100000,218.7266464
2020-03-25,Case Counts by County,El Paso County,Cases,122
2020-03-25,Case Counts by County,El Paso County,Rate Per 100000,17.07738716
2020-03-25,Case Counts by County,Elbert County,Cases,3
2020-03-25,Case Counts by County,Elbert County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Fremont County,Cases,1
2020-03-25,Case Counts by County,Fremont County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Garfield County,Cases,13
2020-03-25,Case Counts by County,Garfield County,Rate Per 100000,21.73658602
2020-03-25,Case Counts by County,Gilpin County,Cases,0
2020-03-25,Case Counts by County,Gilpin County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Grand County,Cases,2
2020-03-25,Case Counts by County,Grand County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Grand Total County,Cases,1086
2020-03-25,Case Counts by County,Grand Total County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Gunnison County,Cases,52
2020-03-25,Case Counts by County,Gunnison County,Rate Per 100000,302.8009084
2020-03-25,Case Counts by County,Hinsdale County,Cases,1
2020-03-25,Case Counts by County,Hinsdale County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Huerfano County,Cases,1
2020-03-25,Case Counts by County,Huerfano County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Jackson County,Cases,0
2020-03-25,Case Counts by County,Jackson County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Jefferson County,Cases,93
2020-03-25,Case Counts by County,Jefferson County,Rate Per 100000,16.04856676
2020-03-25,Case Counts by County,Kiowa County,Cases,0
2020-03-25,Case Counts by County,Kiowa County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Kit Carson County,Cases,0
2020-03-25,Case Counts by County,Kit Carson County,Rate Per 100000,NA
2020-03-25,Case Counts by County,La Plata County,Cases,1
2020-03-25,Case Counts by County,La Plata County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Lake County,Cases,0
2020-03-25,Case Counts by County,Lake County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Larimer County,Cases,45
2020-03-25,Case Counts by County,Larimer County,Rate Per 100000,12.84385864
2020-03-25,Case Counts by County,Las Animas County,Cases,0
2020-03-25,Case Counts by County,Las Animas County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Lincoln County,Cases,0
2020-03-25,Case Counts by County,Lincoln County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Logan County,Cases,2
2020-03-25,Case Counts by County,Logan County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Mesa County,Cases,5
2020-03-25,Case Counts by County,Mesa County,Rate Per 100000,3.254572675
2020-03-25,Case Counts by County,Mineral County,Cases,0
2020-03-25,Case Counts by County,Mineral County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Moffat County,Cases,0
2020-03-25,Case Counts by County,Moffat County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Montezuma County,Cases,0
2020-03-25,Case Counts by County,Montezuma County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Montrose County,Cases,4
2020-03-25,Case Counts by County,Montrose County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Morgan County,Cases,3
2020-03-25,Case Counts by County,Morgan County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Otero County,Cases,1
2020-03-25,Case Counts by County,Otero County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Ouray County,Cases,0
2020-03-25,Case Counts by County,Ouray County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Park County,Cases,1
2020-03-25,Case Counts by County,Park County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Phillips County,Cases,0
2020-03-25,Case Counts by County,Phillips County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Pitkin County,Cases,21
2020-03-25,Case Counts by County,Pitkin County,Rate Per 100000,117.4562336
2020-03-25,Case Counts by County,Prowers County,Cases,0
2020-03-25,Case Counts by County,Prowers County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Pueblo County,Cases,3
2020-03-25,Case Counts by County,Pueblo County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Rio Blanco County,Cases,0
2020-03-25,Case Counts by County,Rio Blanco County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Rio Grande County,Cases,0
2020-03-25,Case Counts by County,Rio Grande County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Routt County,Cases,6
2020-03-25,Case Counts by County,Routt County,Rate Per 100000,23.3617568
2020-03-25,Case Counts by County,Saguache County,Cases,0
2020-03-25,Case Counts by County,Saguache County,Rate Per 100000,NA
2020-03-25,Case Counts by County,San Juan County,Cases,0
2020-03-25,Case Counts by County,San Juan County,Rate Per 100000,NA
2020-03-25,Case Counts by County,San Miguel County,Cases,1
2020-03-25,Case Counts by County,San Miguel County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Sedgwick County,Cases,0
2020-03-25,Case Counts by County,Sedgwick County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Summit County,Cases,9
2020-03-25,Case Counts by County,Summit County,Rate Per 100000,29.05756627
2020-03-25,Case Counts by County,Teller County,Cases,5
2020-03-25,Case Counts by County,Teller County,Rate Per 100000,19.95211492
2020-03-25,Case Counts by County,Unknown Or Pending County,Cases,18
2020-03-25,Case Counts by County,Unknown Or Pending County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Washington County,Cases,0
2020-03-25,Case Counts by County,Washington County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Weld County,Cases,87
2020-03-25,Case Counts by County,Weld County,Rate Per 100000,27.6848761
2020-03-25,Case Counts by County,Yuma County,Cases,1
2020-03-25,Case Counts by County,Yuma County,Rate Per 100000,NA
2020-03-25,Case Counts by County,Note,Cases include people who had a positive lab test positive and cases that public health identified and determined were likely to have COVID-19 because of their symptoms and close contact with someone who tested positive. The number of untested cases included in the total case count is a very small portion of the total cases reported.,NA
2020-03-25,Case Counts by County,Note,People who tested positive for COVID-19 in Colorado while visiting are included in the county where they were identified.,NA
2020-03-25,Case Counts by County,Note,"County rates per 100,000 are calculated using 2018 population estimates from the Demography Section, Colorado Division of Local Government.",NA
2020-03-25,Case Counts by County,Note,Rates are not shown for counties with fewer than 5 cases.,NA
2020-03-25,Case Counts by County,Note,Caution should be used when interpreting rates in counties with small populations.,NA
2020-03-25,Case Counts by County,Note,Some cases may still be under investigation and county not assigned yet.,NA
2020-03-25,Case Counts by Age Group,0-9,Cases,15
2020-03-25,Case Counts by Age Group,0-9,Percent,1.38
2020-03-25,Case Counts by Age Group,10-19,Cases,26
2020-03-25,Case Counts by Age Group,10-19,Percent,2.39
2020-03-25,Case Counts by Age Group,20-29,Cases,151
2020-03-25,Case Counts by Age Group,20-29,Percent,13.9
2020-03-25,Case Counts by Age Group,30-39,Cases,187
2020-03-25,Case Counts by Age Group,30-39,Percent,17.22
2020-03-25,Case Counts by Age Group,40-49,Cases,204
2020-03-25,Case Counts by Age Group,40-49,Percent,18.78
2020-03-25,Case Counts by Age Group,50-59,Cases,180
2020-03-25,Case Counts by Age Group,50-59,Percent,16.57
2020-03-25,Case Counts by Age Group,60-69,Cases,148
2020-03-25,Case Counts by Age Group,60-69,Percent,13.63
2020-03-25,Case Counts by Age Group,70-79,Cases,113
2020-03-25,Case Counts by Age Group,70-79,Percent,10.41
2020-03-25,Case Counts by Age Group,80+,Cases,58
2020-03-25,Case Counts by Age Group,80+,Percent,5.34
2020-03-25,Case Counts by Age Group,Unknown,Cases,4
2020-03-25,Case Counts by Age Group,Unknown,Percent,0.37
2020-03-25,Case Counts by Sex,Female,Cases,525
2020-03-25,Case Counts by Sex,Female,Percent,48.34
2020-03-25,Case Counts by Sex,Male,Cases,549
2020-03-25,Case Counts by Sex,Male,Percent,50.55
2020-03-25,Case Counts by Sex,Unknown,Cases,12
2020-03-25,Case Counts by Sex,Unknown,Percent,1.1
2020-03-25,Case Counts by Onset Date,Note,Onset date data unavailable for this date ,NA
2020-03-25,Deaths,El Paso County,Cases,5
2020-03-25,Deaths,Weld County,Cases,4
2020-03-25,Deaths,Denver County,Cases,3
2020-03-25,Deaths,Larimer County,Cases,1
2020-03-25,Deaths,Jefferson County,Cases,2
2020-03-25,Deaths,Crowley County,Cases,1
2020-03-25,Deaths,Eagle County,Cases,1
2020-03-25,Deaths,Gunnison County,Cases,1
2020-03-25,Deaths,Teller County,Cases,1
2020-03-25,"Case Counts by Age Group, Hospitalizations, and Deaths","0-9, Not Hospitalized",Cases,15
2020-03-25,"Case Counts by Age Group, Hospitalizations, and Deaths","10-19, Not Hospitalized",Cases,26
2020-03-25,"Case Counts by Age Group, Hospitalizations, and Deaths","20-29, Hospitalized",Cases,3
2020-03-25,"Case Counts by Age Group, Hospitalizations, and Deaths","20-29, Not Hospitalized",Cases,148
2020-03-25,"Case Counts by Age Group, Hospitalizations, and Deaths","30-39, Hospitalized",Cases,13
2020-03-25,"Case Counts by Age Group, Hospitalizations, and Deaths","30-39, Not Hospitalized",Cases,174
2020-03-25,"Case Counts by Age Group, Hospitalizations, and Deaths","40-49, Deaths",Cases,1
2020-03-25,"Case Counts by Age Group, Hospitalizations, and Deaths","40-49, Hospitalized",Cases,19
2020-03-25,"Case Counts by Age Group, Hospitalizations, and Deaths","40-49, Not Hospitalized",Cases,184
2020-03-25,"Case Counts by Age Group, Hospitalizations, and Deaths","50-59, Deaths",Cases,2
2020-03-25,"Case Counts by Age Group, Hospitalizations, and Deaths","50-59, Hospitalized",Cases,34
2020-03-25,"Case Counts by Age Group, Hospitalizations, and Deaths","50-59, Not Hospitalized",Cases,144
2020-03-25,"Case Counts by Age Group, Hospitalizations, and Deaths","60-69, Deaths",Cases,3
2020-03-25,"Case Counts by Age Group, Hospitalizations, and Deaths","60-69, Hospitalized",Cases,26
